IP,Date,Explanation,High Cluster,Mid Cluster,Low Cluster,Fine Cluster
23.130.39.101,902,(99.5%) 1 huge elephant flow,Heavy,Server,TCP,tcp-app-traffic-elephant
38.91.155.17,901,"65K NTP packets to 2 NTP servers, elephant or DDoS or normal? at 3k pkts/flow",Flood,Client,NTP,ntp-flood-attack
37.96.150.205,901,Pairs of TCP S and R packets to port 23 and 52869,Scan,Client,MANY,scan-many-host-many-ports
37.78.135.176,901,Lots of SYN packets to many hosts and many ports,Scan,Client,MANY,tcp-syn-flood
37.101.24.137,901,"TCP SYN & RST packets from cisco router to juniper router, Seems like scanning on dfferent dest IP",Scan,Client,TCP,scan-many-host-1-port
36.9.54.139,901,"UDP packets from cisco router to juniper router, Seems like scanning on dfferent dest IP",Scan,Client,TCP,scan-many-host-1-port
36.180.83.20,901,,Scan,Client,TCP,
222.156.182.56,902,,Scan,Client,TCP,
220.231.50.34,902,Web Client at 4 pkts/flow,low-rate,Client,HTTP,web-client-traffic
206.181.106.51,902,scan of telnet port on many host (17K),Scan,Client,TCP,scan-many-host-1-port
203.173.127.196,902,port scan of many host on port 23404 (25K) + ping (12K),Scan,Client,TCP+PING,scan-many-host-1-port-ping
203.173.124.95,902,Web Server with many large downloads,Heavy,Server,HTTP,web-server-traffic-heavy
203.173.122.198,902,large numbre of DNS query from 1 destination (320K/340K packets) at 21 pkts/flow,Flood,Client,DNS,dns-flood-attack
203.173.121.56,902,"total 400MB, elephant flow 97%, max_byte 88MB, 92% elephant, many src ports",Heavy,Peer,TCP,
203.173.121.42,902,elephant,Heavy,Client,TCP,tcp-app-traffic-heavy
203.173.121.25,902,"total 260MB, elephant flow 79%, max_byte 49MB (45%), 92% elephant, many src ports",Heavy,Peer,TCP,
203.173.119.191,902,large number (5K+) of short TCP flows from SMTP servers from one destination at 6 pkts/flow,low-rate,Server,SMTP,low-rate-tcp-smtp
34.203.201.110,901,"src is web server, many short flows (4-6 pkts) all traffic goes to a single destination at 5 pkts/flow",low-rate,Server,TCP,low-rate-TCP-attack
31.50.161.168,901,"webserver traffic but with multiple elepahants flow (83%, >500MB)",Heavy,Server,HTTP,web-server-traffic-heavy
31.50.161.164,901,"web server traffic, suspious due to large number destination at 239 pkts/flow",Flood,Server,HTTP,web-server-traffic
203.173.119.132,902,"47K packets, 5K+ SYN+FIN pkts to SMTP server, 21K dns pkts, 9K+ ICMP echo at 5 pkts/flow",low-rate,server,many,
203.173.118.170,902,"Busy webserver, 3K+ flows",Heavy,Server,HTTP,web-server-traffic
203.173.113.40,902,1 elephant flow of 97% (140MB),Heavy,Server,HTTP,
203.173.113.12,902,DNS traffic at 3 pkts/flow,low-rate,Client,DNS,DNS
203.173.112.181,902,"bitcoin server, > 99% of traffic is from a bitcoin server (port 8333), the remaining 1% is mostly from other bitcoin server.",Heavy,Server,TCP,
202.251.215.12,902,"75% of all packets from 1 host, 99.5% packets are elephants",Heavy,Client,HTTP,web-client-traffic-heavy
199.165.106.99,902,web server download to 1c host with 1 mid-size elephant (60MB) at 3k pkts/flow,Flood,Server,HTTP,web-server-traffic
192.5.29.159,902,"web server with 170 flows, 244pkts/flow, elephant 18%",Flood,Server,HTTP,web-server-traffic
192.217.1.244,902,large number (1K+) of short TCP flows (10 packets) from HTTPS servers (victim?) at 11 pkts/flow,low-rate,Server,HTTP,low-rate-tcp-https
23.27.217.86,901,fairly normal web traffic at 460 pkts/flow,Flood,Server,HTTP,
212.99.213.249,901,The client is sending only syn packets on 445 port. This is the port used by wannacry attack,Scan,Client,TCP,wannacry
212.24.85.159,901,DNS query at 15 pkts/flow,low-rate,Client,DNS,dns-query
206.189.95.172,901,scan of telnet port on many host (17K),Scan,Client,TCP,scan-many-host-1-port
203.189.95.39,901,"large number of UDP packets between two hosts (35K out of 57K), 12K from DNS, 23K UDP packets between two hosts at 14 pkts/flow",low-rate,Server,UDP,udp-app-traffic
203.189.95.38,901,"large number of UDP packets between two hosts (35K out of 43K), 14K from DNS, 21K UDP packets between 2 hosts at 14 pkts/flow",low-rate,Server,UDP,udp-app-traffic
203.189.93.57,901,P2P traffic with heavy flow,Heavy,Peer,TCP,
203.189.93.43,901,"to many host, looks likes P2P traffic",Heavy,Peer,TCP,p2p-traffic-heavy
203.189.93.25,901,P2P traffic with heavy flow,Heavy,Peer,TCP,
203.189.91.209,901,"1.73GB total, max_byte 360MB, 89% elephant, 1500 flows",Heavy,Server,HTTP, 
203.189.88.57,901,UDPencap packets heavy flow,Heavy,Server,UDP,
192.192.34.120,902,"4K DNS queries, most NXDomain at 2 pkts/flow",low-rate,Client,DNS,dns-client-traffic-heavy
192.174.110.25,902,Massive DNS queries (9k+) at 21 pkts/flow,Flood,Client,DNS,dns-client-traffic-heavy
188.190.25.16,902,"SYN scan on my-sql , 2 packets to each dest.",Scan,Client,TCP,scan-many-host-1-port
187.130.177.190,902,The client is sending only syn packets on 445 port. This is the port used by wannacry attack,Scan,Client,DNS,wannacry
186.221.157.182,902,The client is sending only syn packets on 1433 port,Scan,Client,TCP,sqlsnake
182.10.229.123,902,"scanning for port 445, WannaCry?",Scan,Client,TCP,scan-many-host-1-port
203.189.88.249,901,"SYN packets and ICMP packets to many hosts, Scans to port 23404",Scan,Client,TCP,scan-many-host-1-port
203.189.88.211,901,Web client with 190 packets/flow,Flood,Client,HTTP,
203.189.86.252,901,Many (2K) DNS queries to many hosts,Flood,Client,DNS,dns-client-traffic-heavy
203.189.80.151,901,web server traffic at 42 pkts/flow,Flood,Server,HTTP,web-server-traffic
202.0.35.13,901,"99% of bytes belings to elephant, to different https server",Heavy,Client,HTTP,web-client-traffic-heavy
192.30.239.1,901,95% of bytes belongs to elephant,Heavy,Server,TCP,tcp-app-traffic-elephant
192.30.234.97,901,Web server with 150 packets/flow,Flood,Server,HTTP,
192.30.141.28,901,,low-rate,server,TCP,
192.28.90.157,901,Web server with one small download from client at 11 pkts/flow,low-rate,Server,HTTP,web-server-traffic
192.145.8.139,901,large number (1K+) of short TCP flows (10 packets) from HTTPS servers (victim?) at 10 pkts/flow,low-rate,Server,HTTP,low-rate-tcp-https
192.145.8.138,901,large number (1K+) of short TCP flows (10 packets) from HTTPS servers (victim?) at 10 pkts/flow,low-rate,Server,HTTP,low-rate-tcp-https
192.135.234.198,901,4K+ DNS queries only from 3 clients at 2 pkts/flow,low-rate,Server,DNS,dns-query
188.193.111.232,901,The client is sending only syn packets on 1433 port,Scan,Client,TCP,sqlsnake
187.186.67.51,901,"scanning for port 445, WannaCry?",Scan,Client,TCP,scan-many-host-1-port
187.162.56.112,901,"scanning for port 445, WannaCry?",Scan,Client,TCP,scan-many-host-1-port
185.112.24.34,901,"scanning for port 445, WannaCry?",Scan,Client,TCP,scan-many-host-1-port
182.12.252.156,901,The client is sending only syn packets on 445 port. This is the port used by wannacry attack,Scan,Client,TCP,wannacry
182.12.169.100,901,The client is sending only syn packets on 445 port. This is the port used by wannacry attack,Scan,Client,TCP,wannacry
181.79.89.57,901,The client is sending only syn packets on 1433 port,Scan,Client,TCP,sqlsnake
181.2.248.55,901,The client is sending only syn packets on 1433 port,Scan,Client,TCP,sqlsnake
176.122.216.82,901,TCP SYN packets to many hosts and at 3 ports.,Scan,Client,MANY,tcp-syn-flood
173.58.50.59,901,1 600MB flow,Heavy,Server,TCP,tcp-app-traffic-elephant
173.58.50.238,901,"normal http server traffic (src is HTTP server), all in UDP, HTTP/3? at 1600 pkts/flow",Flood,Server,HTTP,web-server-udp-traffic
172.38.218.54,901,"web server traffic with 1 30MB download, suspious due to large number destination",Heavy,Server,HTTP,web-server-traffic
171.98.158.213,901,The client is sending only syn packets on 1433 port,Scan,Client,TCP,sqlsnake
171.8.238.169,901,The client is sending only syn packets on 445 port. This is the port used by wannacry attack,Scan,Client,TCP,wannacry
17.237.183.51,901,"Elephant, 99% of bytes from elephant but source is HTTP server, so can be normal flows.",Heavy,Server,TCP,tcp-app-traffic-elephant
17.237.183.50,901,Web-server traffic at port 80. Two hosts are huge flows.,Heavy,Server,HTTP,web-server-traffic
17.237.183.49,901,fairly normal web traffic at 279 pkts/flow,Flood,Server,HTTP,
17.237.183.48,901,"1 5.8M download over 200ms, 230Mbps (short burst) at 130 pkts/flow",Flood,Server,TCP,bursty-traffic
163.210.230.104,901,"170K UDP pkts, 1 udp flow (62768->3480) secure virtual workspace",Heavy,Client,UDP,udp-app-traffic
163.210.205.251,901,"many (6460/6631) short TCP flows (6 packets) with SYN/FIN, mostly 0 length at 5 pkts/flow",low-rate,Client,TCP,low-rate-TCP-attack
163.210.11.6,901,Lots of packets to port 30303 on both UDP and TCP 9 pkts/flow,low-rate,Peer,UDP,ethereum-traffic
162.40.110.9,901,"TCP SYN & RST packets from cisco router to juniper router, Seems like scanning on dfferent dest IP",Scan,Client,TCP,scan-many-host-1-port
181.134.155.216,902,The client is sending only syn packets on 1433 port,Scan,Client,TCP,sqlsnake
173.195.202.203,902,burst for 2 seconds at 2900 pkts/flow,Flood,Client,TCP,bursty-traffic
173.195.202.108,902,"web server traffic 82% elephant, uses http3 (udp)",Heavy,Server,HTTP,web-server-udp-traffic
173.195.200.106,902,"total 160MB, elephant flow 79%, max_byte 71MB (45%), 62K/112K are QUIC/UDP",Heavy,Server,HTTP,
171.105.91.43,902,The client is sending only syn packets on 1433 port,Scan,Client,TCP,sqlsnake
17.22.199.51,902,Typical download from HTTP server,Heavy,Server,HTTP,web-server-traffic
163.34.98.208,902,,Flood,Client,TCP,
163.34.72.5,902,"many (6K+) short TCP flows (6 packets) with SYN/FIN, 1 small data pakect at 5 pkts/flow",low-rate,Client,TCP,low-rate-TCP-attack
163.34.253.9,902,Etherereum traffic (40K/52K). at 9 pkts/flow,low-rate,Peer,TCP,
163.34.253.64,902,2.3K short TCP connections (13 packets) to a two https srver at 12 packets/flow,low-rate,Client,TCP,low-rate-TCP-attack
163.34.253.163,902,,Flood,peer,TCP,
162.216.36.116,902,160+ SYN/RST pairs for each TCP flows at 13 pkts/flow,Scan,Client,TCP,low-rate-TCP-attack
162.144.193.199,902,"scanning for port 445, WannaCry?",Scan,Client,TCP,scan-many-host-1-port
159.62.129.11,902,scan of telnet port on many host],Scan,Client,TCP,scan-many-host-1-port
159.46.109.42,902,Client trying to access telnet port of several address,Scan,Client,TCP,telnet-scan
159.46.109.42,902,SYN scans to port 23,Scan,Client,TCP,
153.98.111.188,902,Web server with 28 packets/flow at 8Mbps totally for 1 second. Its a short burst,Flood,Server,HTTP,
152.60.64.112,902,"web server traffic with 1 large download (80MB, 92%)",Heavy,Server,HTTP,web-server-traffic
133.157.199.25,902,repeatedly sending zero size packet to many HTTPS server at 80 pkts/flow,Flood,Client,TCP,low-rate-TCP-attack
133.157.199.23,902,,Flood,Client,TCP,low-rate-TCP-attack
133.157.199.22,902,repeatedly sending zero size packet to many HTTPS server at 84 pkts/flow,Flood,Client,TCP,low-rate-TCP-attack
133.157.199.20,902,repeatedly sending zero size packet to many HTTPS server at 82 pkts/flow,Flood,Client,TCP,low-rate-TCP-attack
133.157.115.68,902,large number 317K UDP packets to a single server (pravein - check protocol) at 21 pkts/flow,Flood,Client,UDP,ip-frag-attack
133.135.64.58,902,"large number of TCP reset (30K/43K) on server port 50356 & 1780, 12K ICMP unreachable at 3 pkts/flow",low-rate,Server,TCP,tcp-reset-attack
125.182.74.7,902,130 UDP packets to port 10058 at 5 pkts/flow,low-rate,Client,UDP,udp-app-traffic
124.105.66.90,902,The client is sending only syn packets on 1433 port,Scan,Client,TCP,sqlsnake
122.150.67.6,902,"UDP packets from cisco router to juniper router, Seems like scanning on dfferent dest IP",Scan,Client,TCP,scan-many-host-1-port
120.84.124.155,902,scan my-sql ports,Scan,Client,TCP,scan-many-host-1-port
119.3.58.195,902,Pairs of TCP S and R packets to ssh port,Scan,Client,TCP,scan-many-host-1-port
159.214.227.203,901,8925/8958 scan of telnet port on different hosts,Scan,Client,TCP,scan-many-host-1-port
159.198.113.6,901,scan of telnet port on many host (17K),Scan,Client,TCP,scan-many-host-1-port
139.172.232.94,901,"TCP SYN & RST packets from cisco router to juniper router, Seems like scanning on dfferent dest IP",Scan,Client,TCP,scan-many-host-1-port
139.172.211.185,901,Pairs of TCP S and R packets to ssh port,Scan,Client,TCP,scan-many-host-1-port
133.63.14.36,901,"large number of TCP reset (27K/40K) on server port 50356 (25K), 1780 (2K) at 3 pkts/flow ",low-rate,Client,TCP,tcp-reset-attack
133.37.33.27,901,repeatedly sending zero size packet to many HTTPS server at 79 packets/flow,Flood,Client,TCP,low-rate-TCP-attack
133.37.33.23,901,repeatedly sending zero size packet to many (6) HTTPS server at 81 packets/flow,Flood,Client,TCP,low-rate-TCP-attack
133.37.33.22,901,repeatedly sending zero size packet to many HTTPS server at 81 packets/flow,Flood,Client,TCP,low-rate-TCP-attack
133.37.33.21,901,repeatedly sending zero size packet to many (6) HTTPS server at 81 packets/flow,Flood,Client,TCP,low-rate-TCP-attack
133.37.148.92,901,scan/low-rate?,Scan,Client,UDP/TCP,
122.27.242.50,901,"TCP SYN flood, RIP , UDP and NTP, ICMP packets at the rate of 100 pkts/sec",Scan,Client,MANY,scan-many-host-many-ports
122.246.3.4,901,"Scan of UDP port 53413, backdoor for netcore routers",Scan,Client,UDP,scan-many-host-1-port-udp
117.91.23.41,901,Web server with elephant flows,Heavy,Server,HTTP,
117.91.23.0,901,Web server with elephant flows,Heavy,Server,HTTP,
117.91.18.89,901,Web server with 195 packets/flow,Flood,Server,HTTP,
116.45.217.218,901,"scanning for port 445, WannaCry?",Scan,Client,TCP,scan-many-host-1-port
119.3.31.216,902,Pairs of TCP S and R packets to ssh port,Scan,Client,TCP,scan-many-host-1-port
117.220.174.213,902,"All (2165) SYN packet to port 445/microsft-ds, Wanna-Cry?",Scan,Client,TCP,scan-many-host-1-port
116.98.38.83,902,"scanning for port 445, WannaCry?",Scan,Client,TCP,scan-many-host-1-port
95.251.45.104,1006,TCP SYN to several hosts.,Scan,Client,TCP,
91.69.78.59,1006,The client is sending ntp packets at a very low rate. One weird thing is src is cisco router and dest is a juniper router 2 pkts/flow,low-rate,Client,NTP,
91.69.72.169,1006,The client is sending ntp packets at a very low rate. One weird thing is src is cisco router and dest is a juniper router 2 pkts/flow,low-rate,Client,NTP,
91.51.172.218,1006,"(1) TCP flows are mostly SYN scans over ports 80 & 81. (2) Same src port used for UDP flows (57239). 3) Also DNS queries from the same port (both TCP and UDP). 4) Same port used to connect to dport 1900 (SSDP), using both TCP and UDP.",Scan,Client,Many,
89.150.238.38,1006,"TCP SYN scan targeting 133.4.0.0/16 network, Wannacry port (445) - sport 58180",Scan,Client,TCP,
87.106.89.155,1006,"SYN scans on multiple dst hosts, over (mostly) HTTPS port",Scan,Client,TCP,
85.240.25.236,1006,"SYN scans on multiple dst hosts (133.4/16 subnet), over only Wannacry port",Scan,Client,TCP,
85.140.156.16,1006,"TCP SYN scan targeting 133.4.0.0/16 network, Wannacry port (445), with sport 57239",Scan,Client,TCP,
83.48.50.62,1006,"(1) TCP flows are mostly SYN scans. (2) Same src port used for UDP flows, all to SNMP port (57239). 3) Also DNS queries from the same port (both TCP and UDP)",Scan,Client,Many,
83.103.167.216,1006,SYN scan. Client,Scan,Client,TCP,
8.8.137.216,1006,"Mostly traffic from a DNS server, in addition to some ICMP traffic. Looks normal",low-rate,Server,DNS,
78.255.56.18,1006,SYN scans to 100K+ dsts over 100+ dst ports,Scan,Client,TCP,
78.106.181.65,1006,"SYN scans on multiple dst hosts (133.4/16 subnet), over only Wannacry port",Scan,Client,TCP,
74.146.223.54,1006,"A web server, using HTTP. But proportion of elephants is high.",Heavy,Server,HTTP,
74.146.218.17,1006,"Normal web server. Uses UDP, 1k pkts/flow
Normal web server talking to three clients over both TCP and UDP. at 992 pkts/flow",Flood,Server,HTTP,
74.146.213.79,1006,"Normal web server. Uses UDP, 2.7k pkts/flow",Flood,Server,HTTP,
74.146.213.111,1006,Normal web server. Uses UDP,Heavy,Server,HTTP,
74.146.213.110,1006,"Looks like a web server, using HTTP over both TCP and UDP (QUIC). Might be Youtube. There are common clients (dst IPs) in between these color-coded entries.",Heavy,Server,HTTP,
71.197.109.182,1006,"(1) TCP flows are mostly SYN scans. (2) Same src port used for UDP flows, all to SNMP port (57239). 3) Also NTP queries from the same port (both TCP and UDP)",Scan,Client,Many,
64.113.176.254,1006,"HTTP over both TCP and UDP; mostly HTTP+UDP; looks normal, except packets sizes are too small; 
UDP -20s and 40s, TCP - 60s; perhaps social n/w, 100 pkts/flow",Flood,Server,HTTP,
61.184.33.171,1006,121 connections to a web server. Suspcious activity.,Flood,Client,HTTP,
47.85.188.7,1006,"Multiple DNS flows to a DNS server, with almost the same number of packets per src ports. Over 2K src ports in use. at 12pkts/flow",low-rate,Client,DNS,
46.145.202.198,1006,"SYN scans on multiple dst hosts (133.4/16 subnet), over only Wannacry port",Scan,Client,TCP,
45.157.147.218,1006,"Total of 77 SYN scans to 40 destinations on dst port 445, using just one src port. Dst spread over one subnet: 133.4.0.0/16",Scan,Client,TCP,
45.157.147.217,1006,"Total of 52 SYN scans to 28 destinations on dst port 445, using just one src port. Dst spread over one subnet: 133.4.0.0/16",Scan,Client,TCP,
45.157.147.203,1006,"TCP SYN scan targeting 133.4.0.0/16 network, Wannacry port (445) - sport 59953",Scan,Client,TCP,
45.157.147.201,1006,"TCP SYN scan targeting 133.4.0.0/16 network, Wannacry port (445) - sport 56440",Scan,Client,TCP,
37.236.126.178,1006,"TCP SYN scan targeting 133.4.0.0/16 network, only syn packets on 445 port. This is the port used by wannacry attack",Scan,Client,TCP,
91.173.170.167,907,"The client is sending only syn packets on 445 port. 
This is the port used by wannacry attack",Scan,Client,TCP,
90.170.93.183,907,Syn packets to many hosts on 23,Scan,Client,TCP,
90.170.91.137,907,Syn packets to many hosts on 23,Scan,Client,TCP,
90.170.87.251,907,Syn packets to many hosts on 23,Scan,Client,TCP,
90.170.82.41,907,Syn packets to many hosts on 23,Scan,Client,TCP,
90.170.202.169,907,Syn packets to many hosts on 23,Scan,Client,TCP,
88.6.65.133,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
85.30.67.87,907,"The client is sending only syn packets on 445 port. 
This is the port used by wannacry attack",Scan,Client,TCP,
74.126.122.214,907,"Web server with heavy flows on TCP and UDP over HTTP, could be QUIC",Heavy,Server,HTTP,
74.126.122.174,907,"Web server with heavy flows on TCP and UDP over HTTP, could be QUIC",Heavy,Server,TCP,
67.96.255.250,907,nearly 1000 DNS queries to a single destination.,Flood,Server,DNS,
66.62.136.150,907,"A client connecting to multiple servers over LDAP, almost equal transmission at 3k pkt/flow",Flood,Client,UDP,
66.57.217.186,907,"The client is sending only syn packets on 445 port. 
This is the port used by wannacry attack",Scan,Client,TCP,
58.221.182.94,907,A single host communicating with server on several thousand ports in ascending order at 300 pkts/flow,Flood,Server,HTTP,
58.221.182.60,907,A single host communicating with server on several thousand ports in ascending order at 390 pkts/flow,Flood,Server,HTTP,
58.211.210.253,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
5.207.209.134,907,"Scans on port 445, wannacry attack",Scan,Client,TCP,
45.138.80.212,907,"The client is sending only syn packets on 445 port. 
This is the port used by wannacry attack",Scan,Client,TCP,
45.138.80.192,907,"The client is sending only syn packets on 445 port. 
This is the port used by wannacry attack",Scan,Client,TCP,
37.77.217.25,907,Syn packets to many hosts on 23,Scan,Client,TCP,
37.77.215.16,907,Syn packets to many hosts on 23,Scan,Client,TCP,
37.77.209.73,907,Syn packets to many hosts on 23,Scan,Client,TCP,
37.5.250.82,907,"The client is sending only syn packets on 445 port. 
This is the port used by wannacry attack",Scan,Client,TCP,
37.37.7.139,907,Scans on port 80,Scan,Client,TCP,
37.35.90.208,907,SYN/RST pairs to serveral hosts,Scan,Client,TCP,
36.239.244.5,907,"UDP traffic to port 53413. 
This seems to be known exploit in execute commands  onnetis routers",Scan,Client,UDP,
23.13.44.133,907,Http server with a single heavy and several short flows,Heavy,Server,TCP,
222.9.66.105,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
222.74.137.186,907,Scans to many servers,Scan,Client,TCP,
221.49.67.84,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
218.211.150.200,907,"A client  with SYN, RST packets without flow establishment to several hosts at 4 pkts/flow",low-rate,Client,TCP,
203.117.77.55,907,Heavy P2P Flows,Heavy,Peer,TCP,
203.117.77.44,907,Seems like P2P traffic with elephant flows,Heavy,Peer,TCP,
203.117.77.25,907,Heavy P2P Flows,Heavy,Peer,TCP,
203.117.74.15,907,"Web server with a single heavy flow, and multiple short flows",Heavy,Server,HTTP,
203.117.72.249,907,"Scans to unknown port, same source and dst port to different IP",Scan,Client,TCP,
203.117.71.3,907,50K short  flows connecting to a SSH server to execute commands (short packets),Flood,server,TCP,
203.117.65.83,907,"Web server with a single heavy flow, and multiple short flows at 800 pkts/flow",Heavy,Server,HTTP,
202.191.69.35,907,"The client is sending only syn packets on 445 port. 
This is the port used by wannacry attack",Scan,Client,TCP,
197.29.6.82,907,SYN/RST pairs to serveral hosts,Scan,Client,TCP,
192.129.24.183,907,A single host communicating with server on several thousand ports in ascending order at 11 pkts/flow,low-rate,Server,HTTP,
192.129.24.182,907,A single host communicating with server on several thousand ports in ascending order at 11 pkts/flow,low-rate,Server,HTTP,
190.142.152.61,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
188.54.20.239,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
186.95.162.210,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
185.40.209.70,907,Scans to several hosts and unknown TCP ports,Scan,Client,TCP,
185.212.59.141,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
182.3.124.220,907,"The client is sending only syn packets on 445 port. 
This is the port used by wannacry attack",Scan,Client,TCP,
182.3.113.125,907,"The client is sending only syn packets on 445 port. 
This is the port used by wannacry attack",Scan,Client,TCP,
181.48.214.229,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
178.92.214.82,907,Syn packets to many hosts on 23,Scan,Client,TCP,
173.213.241.58,907,A server with a flow > 50% and other short flows,Heavy,Server,HTTP,
173.213.241.165,907,"Big flows, but prop elephant is 0.45 at 1.5k pkts/flow",Flood,Server,HTTP,
173.116.179.157,907,"UDP traffic to port 53413. 
This seems to be known exploit in execute commands  onnetis routers",Scan,Client,UDP,
17.254.203.46,907,"Web server with a single heavy flow, and multiple short flows on both TCP and UDO",Heavy,Server,HTTP,
163.194.93.97,907,"Continous short flows on port 443 from two hosts from different source ports. Quite suspicious. Beenween the flows, they sent reset packets similarly at 12 pkts/fow",low-rate,Server,HTTP,
163.194.128.232,907,"A client connecting to various servers over unknonwn ports in UDP. 
Additionally, it has few short TCP flows at 259 pkts/flow",Flood,Client,UDP,
139.160.248.33,907,Scans on port 22,Scan,Client,TCP,
139.160.211.202,907,Scans on port 22,Scan,Client,TCP,
133.90.83.0,907,A server getting several FIN packets at 13pkts/flow,low-rate,Server,HTTP,
133.90.50.216,907,TCP Zerowindow messages sent to various web serveres at 81 pkts/flow,Flood,Client,TCP,
133.90.253.131,907,"A client with varied traffic to different servers. Traffic consists of DNS, 
UDP traffic to many ports, HTTP
Predominantly UDP traffic over many ports . Overall 14K packets . Seems suspicious",Flood,Client,UDP,
133.90.178.121,907,Elephant flow with several other short flows,Heavy,Server,HTTP,
133.72.161.185,907,A server getting RST packets from many hosts at 3 pkts/flow,low-rate,server,TCP,
131.14.123.138,907,Syn packets to several hosts over port 8080,Scan,Client,TCP,
122.239.129.189,907,SYN packets to many hosts for various ports,Scan,Client,MANY,
120.223.163.120,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
119.92.128.227,907,SYN/RST pairs to serveral hosts,Scan,Client,TCP,
